2221350770,2221350770,Oxigen Wallet,oxigenwallet,India,FALSE,FALSE,Fri Nov 29 12:26:05 +0000 2013,19800,New Delhi,FALSE,en,FALSE,FALSE
510045671,510045671,Shazna Haque,ShazConto,"London, England",FALSE,FALSE,Thu Mar 01 10:43:46 +0000 2012,3600,London,TRUE,en,FALSE,FALSE
371666473,371666473,Nadifa,nadifadiyah,"Surabaya, Indonesia",FALSE,FALSE,Sun Sep 11 08:39:10 +0000 2011,25200,Jakarta,TRUE,en,FALSE,FALSE
371666473,371666473,Nadifa,nadifadiyah,"Surabaya, Indonesia",FALSE,FALSE,Sun Sep 11 08:39:10 +0000 2011,25200,Jakarta,TRUE,en,FALSE,FALSE
3299794136,3299794136,Andre Abouzzaty,andrebuklaw,"Anfa, Grand Casablanca",FALSE,FALSE,Tue Jul 28 18:45:30 +0000 2015,-25200,Pacific Time (US & Canada),FALSE,en,FALSE,FALSE
14201674,14201674,Satish Talim,IndianGuru,"Pune, India",FALSE,FALSE,Sun Mar 23 11:45:59 +0000 2008,19800,Mumbai,TRUE,en,FALSE,FALSE
1678983510,1678983510,Tecnoticias,tuitTecnologia,Madrid,FALSE,FALSE,Sat Aug 17 19:50:14 +0000 2013,-14400,Eastern Time (US & Canada),FALSE,es,FALSE,FALSE
28888215,28888215,Design And Dev. News,wdadnews,New York,FALSE,FALSE,Sat Apr 04 22:52:04 +0000 2009,10800,Istanbul,TRUE,en,FALSE,FALSE
2786417676,2786417676,S.M.N BUSINESS ,SmnApps,London,FALSE,FALSE,Tue Sep 02 18:23:35 +0000 2014,3600,London,FALSE,en,FALSE,FALSE
199531305,199531305,Science Instinct,Sci_Instinct,"Malang, Indonesia",FALSE,FALSE,Thu Oct 07 02:57:26 +0000 2010,-25200,Pacific Time (US & Canada),TRUE,en,FALSE,FALSE
51304423,51304423,Javo,javotroya,Panama,FALSE,FALSE,Sat Jun 27 01:32:04 +0000 2009,-16200,Caracas,TRUE,es,FALSE,FALSE
2395642020,2395642020,Geekito Days,Papi_Geekito,ChuCasa,FALSE,FALSE,Tue Mar 18 05:03:17 +0000 2014,-18000,Mexico City,FALSE,es,FALSE,FALSE
560846730,560846730,Alejandro El Ken,KeaneQuickenden,World,FALSE,FALSE,Mon Apr 23 02:24:21 +0000 2012,25200,Bangkok,FALSE,id,FALSE,FALSE
255569565,255569565,Said Sheran Salcedo,SoySaidSheran,"Venezuela. Zulia, Maracaibo",FALSE,FALSE,Mon Feb 21 16:50:09 +0000 2011,-16200,Caracas,TRUE,es,FALSE,FALSE
2791768958,2791768958,Enconfianzaplus,enconfianzaplus,"Buenos Aires, Argentina",FALSE,FALSE,Fri Sep 05 11:48:00 +0000 2014,-16200,Caracas,FALSE,es,FALSE,FALSE
331699711,331699711,nevitriayu,nevitriayu,jambi,FALSE,FALSE,Fri Jul 08 15:52:00 +0000 2011,-25200,Pacific Time (US & Canada),FALSE,id,FALSE,FALSE
2871902124,2871902124,DAtizarTec,dAtizarTec,America,FALSE,FALSE,Wed Oct 22 21:38:17 +0000 2014,-18000,Bogota,FALSE,es,FALSE,FALSE
322582451,322582451,Gaurav Verma,gauravdotme,Bangalore,FALSE,FALSE,Thu Jun 23 12:14:13 +0000 2011,19800,New Delhi,TRUE,en,FALSE,FALSE
368517057,368517057,G H O S T,ChigzyX,Dreamville,FALSE,FALSE,Mon Sep 05 19:28:40 +0000 2011,7200,Amsterdam,TRUE,en,FALSE,FALSE
322582451,322582451,Gaurav Verma,gauravdotme,Bangalore,FALSE,FALSE,Thu Jun 23 12:14:13 +0000 2011,19800,New Delhi,TRUE,en,FALSE,FALSE
309084598,309084598,Mike Kilinski,mikekilinski,"Vancouver, Canada",FALSE,FALSE,Wed Jun 01 14:14:16 +0000 2011,-25200,Pacific Time (US & Canada),FALSE,en,FALSE,FALSE
331699711,331699711,nevitriayu,nevitriayu,jambi,FALSE,FALSE,Fri Jul 08 15:52:00 +0000 2011,-25200,Pacific Time (US & Canada),FALSE,id,FALSE,FALSE
331699711,331699711,nevitriayu,nevitriayu,jambi,FALSE,FALSE,Fri Jul 08 15:52:00 +0000 2011,-25200,Pacific Time (US & Canada),FALSE,id,FALSE,FALSE
2836773587,2836773587,Just Android News,justandroidnews,Global,FALSE,FALSE,Sun Oct 19 02:44:29 +0000 2014,-14400,Eastern Time (US & Canada),FALSE,en,FALSE,FALSE
2324305219,2324305219,cbelive,cbelive_com,CBE,FALSE,FALSE,Sun Feb 02 20:10:14 +0000 2014,19800,Chennai,FALSE,en,FALSE,FALSE
41207735,41207735,98.7 Gen fm Jakarta,987Genfm,Jakarta,FALSE,TRUE,Tue May 19 20:52:40 +0000 2009,25200,Jakarta,TRUE,en,FALSE,FALSE
85073656,85073656,Smorgasbord by Nash,nashfrias,facebook.com/smorgasbordblog,FALSE,FALSE,Sun Oct 25 12:49:19 +0000 2009,28800,Taipei,TRUE,en,FALSE,FALSE
178752417,178752417,tacila maria,taccila,brazil,FALSE,FALSE,Sun Aug 15 16:06:21 +0000 2010,-10800,Brasilia,FALSE,pt,FALSE,FALSE
222338316,222338316,Matheus Bassedom,matheusbassedom,Registro-SP,FALSE,FALSE,Fri Dec 03 03:39:56 +0000 2010,-36000,Hawaii,TRUE,pt,FALSE,FALSE
178752417,178752417,tacila maria,taccila,brazil,FALSE,FALSE,Sun Aug 15 16:06:21 +0000 2010,-10800,Brasilia,FALSE,pt,FALSE,FALSE
418980091,418980091,RADIO GAIA,RadioGaia2,Spinazzola,FALSE,FALSE,Tue Nov 22 20:12:44 +0000 2011,7200,Rome,TRUE,it,FALSE,FALSE
2324305219,2324305219,cbelive,cbelive_com,CBE,FALSE,FALSE,Sun Feb 02 20:10:14 +0000 2014,19800,Chennai,FALSE,en,FALSE,FALSE
1596559831,1596559831,JPG Soluciones ,jpgsoluciones,Margarita - Venezuela,FALSE,FALSE,Mon Jul 15 19:06:53 +0000 2013,-16200,Caracas,FALSE,es,FALSE,FALSE
331699711,331699711,nevitriayu,nevitriayu,jambi,FALSE,FALSE,Fri Jul 08 15:52:00 +0000 2011,-25200,Pacific Time (US & Canada),FALSE,id,FALSE,FALSE
33826388,33826388,Aman Alam,AmanAlam,"Lucknow / Bangalore, India",FALSE,FALSE,Tue Apr 21 05:42:37 +0000 2009,19800,New Delhi,TRUE,en,FALSE,FALSE
1963245445,1963245445,Hitesh Kumar Singh,hiteshkrsingh,India,FALSE,FALSE,Tue Oct 15 19:04:45 +0000 2013,19800,New Delhi,FALSE,en,FALSE,FALSE
2324305219,2324305219,cbelive,cbelive_com,CBE,FALSE,FALSE,Sun Feb 02 20:10:14 +0000 2014,19800,Chennai,FALSE,en,FALSE,FALSE
279808353,279808353,Joshua Hoetmer,hooty83,"Lethbridge, Alberta",FALSE,FALSE,Sun Apr 10 02:09:36 +0000 2011,-21600,Mountain Time (US & Canada),FALSE,en,FALSE,FALSE
341217221,341217221,HUB CP YG DI BIO!,nigiashop,Android,FALSE,FALSE,Sun Jul 24 00:46:56 +0000 2011,25200,Jakarta,TRUE,id,FALSE,FALSE
2324305219,2324305219,cbelive,cbelive_com,CBE,FALSE,FALSE,Sun Feb 02 20:10:14 +0000 2014,19800,Chennai,FALSE,en,FALSE,FALSE
1612318465,1612318465,Adnez Syahrozi,AdnezSyahrozi,Surabaya,FALSE,FALSE,Mon Jul 22 07:53:38 +0000 2013,25200,Jakarta,TRUE,id,FALSE,FALSE
72749923,72749923,Jung Kim,Azn_CyberSleuth,"Chicago, IL",FALSE,FALSE,Wed Sep 09 03:14:19 +0000 2009,-18000,Central Time (US & Canada),TRUE,en,FALSE,FALSE
162272565,162272565,Jon Flores,Velazcula,Covina CA.,FALSE,FALSE,Sat Jul 03 05:02:29 +0000 2010,-21600,Mountain Time (US & Canada),TRUE,en,FALSE,FALSE
16726510,16726510,Bobby Laurie,BobbyLaurie,"Orlando, FL",FALSE,FALSE,Mon Oct 13 20:01:10 +0000 2008,-25200,Pacific Time (US & Canada),TRUE,en,FALSE,FALSE
