"Fri Sep 25 06:13:41 +0000 2015","647292874036518912","647292874036518912","(Lab News) Duo Nexus Rilis 29 September, Android Marshmallow Menyusul http://t.co/RnlLbak4XS","220109116","220109116","FingerfastLaboratory","fingerfastlab","Indonesia","false","false","1191","1996","81","2","123037","Fri Nov 26 20:21:31 +0000 2010","25200","Bangkok","true","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","in","1443161621947"
"Fri Sep 25 06:13:42 +0000 2015","647292876469071872","647292876469071872","US Tax Residency Finder Android App: http://t.co/O1K1YDgARh via @YouTube","5963822","5963822","Prashant Thakur","taxworry","India","false","false","2252","227","28","1","5019","Fri May 11 14:49:33 +0000 2007","19800","New Delhi","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161622527"
"Fri Sep 25 06:13:43 +0000 2015","647292879694598144","647292879694598144","Best Insurance Apps For Android, iOS and PC {Web Version} http://t.co/NBcpOhGe66","1708177201","1708177201","CodetoUnlock","codetounlock","Mumbai","false","false","2128","817","24","2","32962","Wed Aug 28 20:06:19 +0000 2013","19800","Chennai","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161623296"
"Fri Sep 25 06:13:44 +0000 2015","647292884383858688","647292884383858688","I've harvested 1,008 of food!  http://t.co/qINezyi7ES #android, #androidgames, #gameinsight","23704293","23704293","Caitlin","Offenhartz","New York","false","false","20","74","0","33","2592","Wed Mar 11 02:08:17 +0000 2009","-25200","Pacific Time (US & Canada)","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161624414"
"Fri Sep 25 06:13:50 +0000 2015","647292910032027648","647292910032027648","The new Android app for Movim is now on the @google Play Store with native Android notifications and Pods chooser ! https://t.co/JeksGGqcTr","522540467","522540467","Movim Network","MovimNetwork","European Union","false","false","380","17","15","3","531","Mon Mar 12 20:03:06 +0000 2012","3600","London","true","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161630529"
"Fri Sep 25 06:13:58 +0000 2015","647292943120920576","647292943120920576","Ten of the best mobile puzzle games #Facebook #android #app go to http://t.co/NrXa2OIzfS","3299794136","3299794136","Andre Abouzzaty","andrebuklaw","Anfa, Grand Casablanca","false","false","818","306","62","29","44635","Tue Jul 28 18:45:30 +0000 2015","-25200","Pacific Time (US & Canada)","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161638418"
"Fri Sep 25 06:14:07 +0000 2015","647292982350188544","647292982350188544","Duo Nexus Rilis 29 September, Android Marshmallow Menyusul http://t.co/fMmJZrDfFx #teknologi","2796613818","2796613818","Berita Teknologi","keativacom","Indonesia","false","false","284","0","10","0","56053","Sun Sep 07 21:07:20 +0000 2014","25200","Jakarta","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","in","1443161647771"
"Fri Sep 25 06:14:09 +0000 2015","647292989212110848","647292989212110848","I have completed the quest 'Beautiful and safe.' in the #Android game The Tribez.  http://t.co/qt7D0J1LsD #androidgames, #gameinsight","287839977","287839977","claudia mueller","kruimel100","maastricht","false","false","19","52","5","0","418","Mon Apr 25 19:39:50 +0000 2011","-7200","Greenland","false","nl","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161649407"
"Fri Sep 25 06:14:13 +0000 2015","647293007234998272","647293007234998272","I've collected 34,141 gold coins!  http://t.co/Xfto48WrNG #android, #androidgames, #gameinsight","2228021514","2228021514","Catherine Telford","positivethough7","Rosewell","false","false","18","69","11","8","1215","Tue Dec 03 09:32:57 +0000 2013","3600","Edinburgh","false","en-gb","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161653704"
"Fri Sep 25 06:14:23 +0000 2015","647293047424819200","647293047424819200","Businesses, not government, to spur consumption in China: Alibaba's Ma #Facebook #android #app go to http://t.co/NrXa2OIzfS","3299794136","3299794136","Andre Abouzzaty","andrebuklaw","Anfa, Grand Casablanca","false","false","818","306","62","29","44636","Tue Jul 28 18:45:30 +0000 2015","-25200","Pacific Time (US & Canada)","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161663286"
"Fri Sep 25 06:14:23 +0000 2015","647293048519454720","647293048519454720","I've collected 245 gold coins!  http://t.co/TtJjbQSaZH #android, #androidgames, #gameinsight","606779987","606779987","dana powell","danajjp","perth","false","false","18","486","0","11","2059","Wed Jun 13 01:07:14 +0000 2012","28800","Perth","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161663547"
"Fri Sep 25 06:14:25 +0000 2015","647293056278904832","647293056278904832","Would be very cool if Firefox WebIDE/Valence could debug Crosswalk apps on Android, since it uses the same debugging protocol as Chrome","14988491","14988491","Darryl Pogue","dpogue","Vancouver, Canada","false","false","311","247","34","128","4930","Tue Jun 03 03:02:08 +0000 2008","-25200","Pacific Time (US & Canada)","true","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161665397"
"Fri Sep 25 06:14:29 +0000 2015","647293072779251712","647293072779251712","I have discovered a new territory in The Tribez! http://t.co/Xfto48EQp6  #android, #androidgames, #gameinsight","2228021514","2228021514","Catherine Telford","positivethough7","Rosewell","false","false","18","69","11","8","1216","Tue Dec 03 09:32:57 +0000 2013","3600","Edinburgh","false","en-gb","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161669331"
"Fri Sep 25 06:14:32 +0000 2015","647293086494658560","647293086494658560","Check out 9"" Touchscreen Tablet Android 5.0 Lollipop QUAD CORE16GB WiFi Keyboard #Trinity http://t.co/KbWTPtEOpR via @eBay","130412511","130412511","Caroline Green","cdgreen68","North Carolina","false","false","374","909","9","32","305","Wed Apr 07 06:27:04 +0000 2010","-14400","Eastern Time (US & Canada)","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161672601"
"Fri Sep 25 06:14:33 +0000 2015","647293089938321408","647293089938321408","Per ascoltare Radio Gaia scarica la nostra app gratuita dagli stores Apple, Android o Blackberry:... http://t.co/l52coZ9Tdv","418980091","418980091","RADIO GAIA","RadioGaia2","Spinazzola","false","false","163","325","25","9","113652","Tue Nov 22 20:12:44 +0000 2011","7200","Rome","true","it","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","it","1443161673422"
"Fri Sep 25 06:14:34 +0000 2015","647293092526206976","647293092526206976","Check out Word Search for Android http://t.co/A2SRT9ggpN","229670664","229670664","missy wyatt","missyrosewyatt","tennessee","false","false","66","383","1","54","3095","Thu Dec 23 01:06:39 +0000 2010","-25200","Pacific Time (US & Canada)","true","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161674039"
"Fri Sep 25 06:14:36 +0000 2015","647293104450609152","647293104450609152","despite its success on smartphones, initially android tablet adoption was slow.","3242039816","3242039816","Alexis Jackson","AlexisJacksonAL","California, USA","false","false","807","1409","17","521","5907","Thu Jun 11 07:01:41 +0000 2015","-14400","Eastern Time (US & Canada)","false","en","false","false","null","null","null","null","null","null","null","null","null","null","null","null","0","0","false","false","false","low","en","1443161676882"
